1. Бывает ли у вас ощущение онемения и покалывания?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
2. Вам бывает жарко?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
3. Чувствуете ли вы дрожь в ногах?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
4. Бывает что вы не можете расслабиться?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
5. Боитесь худшего?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
6. У вас кружится голова?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
7. У вас часто или необычно сильно бьется сердце?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
8. У вас неустойчивость или неуверенность в движениях?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
9. Вы испытываете ужас или страх?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
10. Вы нервничаете?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
11. Чувствуете ли вы давление в горле или ощущение комка в горле?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
12. Дрожат ли у вас руки или они неустойчивы?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
13. У вас трясутся руки или дрожжит голос?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
14. Боитесь ли вы потерять контроль над собой или своими поступками?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
15. Бывает ли вам трудно дышать?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
16. Боитесь ли вы умереть?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
17. Часто испытываете страх?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
18. Страдаете ли вы от расстройств пищеварения?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
19. Чувствуете ли вы помутнение или необычную легкость в голове?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
20. Краснеете ли вы или испытываете ощущение жары?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
21. Испытываете ли вы потливость или ощущение холода?	Совсем нет	Слегка, но меня это не сильно беспокоит	Умеренно, иногда это неприятно	Сильно, и меня это беспокоит
