1 Как часто и сильно вы испытывате тоску?	Я не испытываю тоски	Большую часть времени я испытываю тоску	Я все время испытываю тоску	Мне так тоскливо что я боюсь
2 Чувствуете ли вы что заслуживаете наказание?	Я не чувствую, что заслужил наказание	Я чувствую, что могу быть наказан	Я заслуживаю наказания	Я чувствую, что меня заслуженно наказывают
3 Что вы думаете о будущем?	Я не ожидаю плохого от будущего	Я ожидаю от будущего больше неприятностей	Я не жду, что в будущем будет хорошо	Я чувствую, что мое будущее безнадежно
4 Как вы относитесь к неучадам?	Я не чувствую себя неудачником	Я мог бы допустить в прошлом меньше неудач	Оглядываясь назад, я вижу множество неудач	Я чувствую себя полным неудачником
5 Как вы относитесь к себе?	Я отношусь к себе так же, как всегда	Я утратил уверенность в себе	Я разочарован в себе	Я отношусь к себе с отвращением
6 Получаете ли вы удовольствие от вещей которые приносили вам удовлетворение в прошлом?	Я получаю максимум удовольствия	Меня не радует то, что обычно радовало	Я получаю очень мало удовольствия	Нет удовольствие от того, что радовало
7 Насколько вы склонны критиковать себя?	Я критикую себя не более, чем обычно	Я более критичен к себе, чем обычно	Я критикую себя за все свои ошибки	Я обвиняю себя во всем плохом, что происходит
8 Как сильно вы испытываете чувство вины? 	Я не чувствую себя особенно виноватым	Я испытываю чувство вины за многое	Большую часть времени я чувствую вину	Я испытываю чувство вины постоянно
9 Есть ли у вас суицидальные мысли?	У меня нет мыслей о самоубийстве	У меня есть только мысли о самоубийстве	Я хотел бы покончить с собой	Я бы покончил с собой при возможности
10 Насколь беспокойно и вобзбужденно вы себя чувствуете?	Я не более беспокоен, чем обычно	Я испытываю большее беспокойства, чем обычно	Беспокойство такое, что мне тяжело сидеть спокойно	Я вынужден всё время что-то делать, чтобы справитсья
11 Вы плачете?	Я плачу не больше, чем обычно	Я плачу больше, чем обычно	Я плачу каждый день по незначительном поводам	Я хочу плакать, но не могу
12 Как вы проводите свободное время?	Есть интерес к другим людям и занятиям	Меньше интереса к другим людям и занятиям	Почти утратил интерес к другим людям и занятиям	Меня трудно чем-нибудь заинтересовать
13 Вы часто чувствуете раздражение?	Не более раздражителен, чем обычно	Я более раздражителен, чем обычно	Значительно более раздражителен, чем обычно	Испытываю раздражение постоянно
14 Насколько легко или сложжно вам принимать решения?	Я принимаю решения так же легко, как всегда	Я испытываю затруднения с принятием решений	Намного сложнее чем обычно принимать решения	Принятие любого решения - проблема для меня
15 Какой у вас аппетит?	Мой аппетит не изменился	Мой аппетит несколько снижен 	Мой аппетит значительно снижен 	У меня нет аппетита/Я постоянно хочу есть
16 Как вы оцениваете свои способности?	Я не чувствую себя никчемным	Я не чувствую себя ценным и полезным, как всегда	Я чувствую себя менее ценным, чем другие	Я чувствую себя полностью никчемным
17 Вы можете сконцентрироваться?	Я хорошо могу сосредоточиться, как всегда	Я не могу так же хорошо сосредоточиться	Мне трудно удерживать внимание на чем-либо	Я не могу сосредоточиться ни на чем
18 У вас достаточно энергии и сил?	Я так же энергичен, как обычно	У меня меньше энергии, чем обычно	У меня нет энергии на необходимые дела	У меня нет сил ни на что
19 Как быстро вы устаете?	Я устаю не больше, чем обычно	Я устаю скорее, чем обычно	Из-за усталости я не могу делать многое	От я не могу делать почти ничего
20 Оцените качество вашего сна.	Я сплю так же, как всегда	Я сплю несколько больше/меньше чем обычно	Сплю намного больше/меньше, просыпаюсь	Сложно уснуть, сплю весь день
21 Насколько вас интересует секс?	Не вижу изменений в интересе к сексу	Меньший интерес к сексу, чем обычно	Мой интерес к сексу значительно снизился	Я полностью утратил интерес к сексу
